Detector threshold: 0.9999
Model Name: stream2_lb_classifier.h5
imageid, boundingbox_id, IOU, sourceimage
8,-1,-0.0,Frame-01038.png
8,-1,-0.0,Frame-01038.png
9,1966,0.41419886252206317,Frame-01318.png
9,2250,0.0,Frame-01318.png
9,2673,0.20051375784221706,Frame-01318.png
9,-1,-0.0,Frame-01318.png
10,146,0.0,Frame-01551.png
10,261,0.0,Frame-01551.png
10,1149,-0.0,Frame-01551.png
10,1192,-0.0,Frame-01551.png
10,1333,-0.0,Frame-01551.png
10,1595,-0.0,Frame-01551.png
10,2078,0.0005837711617046118,Frame-01551.png
10,2187,-0.0,Frame-01551.png
10,2323,0.0,Frame-01551.png
10,2555,0.30260303687635576,Frame-01551.png
10,2591,0.04559270516717325,Frame-01551.png
10,2728,0.3399163568773234,Frame-01551.png
10,3193,0.0,Frame-01551.png
10,-1,0.0,Frame-01551.png
11,83,0.0,Frame-01598.png
11,818,-0.0,Frame-01598.png
11,900,0.2500734645900676,Frame-01598.png
11,909,0.2647663826035851,Frame-01598.png
11,1192,-0.0,Frame-01598.png
11,1466,0.0,Frame-01598.png
11,1896,0.0,Frame-01598.png
11,2078,0.0,Frame-01598.png
11,2405,0.0,Frame-01598.png
11,2555,0.4994054696789536,Frame-01598.png
11,3026,0.0,Frame-01598.png
11,3193,0.0,Frame-01598.png
11,-1,0.0,Frame-01598.png
11,-1,0.0,Frame-01598.png
12,146,0.0,Frame-01646.png
12,262,0.0,Frame-01646.png
12,532,0.30933713471133284,Frame-01646.png
12,818,-0.0,Frame-01646.png
12,1192,-0.0,Frame-01646.png
12,2102,0.07494711393170142,Frame-01646.png
12,2938,-0.0,Frame-01646.png
12,2985,-0.0,Frame-01646.png
12,3193,0.0,Frame-01646.png
12,-1,0.0,Frame-01646.png
12,-1,0.0,Frame-01646.png
13,146,0.0,Frame-01665.png
13,262,0.0,Frame-01665.png
13,818,-0.0,Frame-01665.png
13,1032,-0.0,Frame-01665.png
13,1192,-0.0,Frame-01665.png
13,1334,-0.0,Frame-01665.png
13,1399,0.0,Frame-01665.png
13,1656,0.0,Frame-01665.png
13,2103,0.15651646972254685,Frame-01665.png
13,3193,0.0,Frame-01665.png
13,-1,0.0,Frame-01665.png
14,968,0.0,Frame-01790.png
14,1904,0.5721278721278721,Frame-01790.png
14,2144,0.09148301382959434,Frame-01790.png
14,2236,0.001417294935139072,Frame-01790.png
14,2459,0.46730064697170476,Frame-01790.png
14,2885,0.0,Frame-01790.png
15,1268,-0.0,Frame-01809.png
15,1398,0.0,Frame-01809.png
15,2029,-0.0,Frame-01809.png
15,2194,0.20305215037867588,Frame-01809.png
15,-1,-0.0,Frame-01809.png
16,262,0.0,Frame-01849.png
16,818,-0.0,Frame-01849.png
16,1455,0.0,Frame-01849.png
16,1656,0.0,Frame-01849.png
16,1955,0.0,Frame-01849.png
16,2460,0.4515663914012321,Frame-01849.png
16,2984,0.0,Frame-01849.png
16,3192,0.0,Frame-01849.png
16,-1,0.0,Frame-01849.png
16,-1,0.0,Frame-01849.png
16,-1,0.0,Frame-01849.png
17,262,0.0,Frame-01881.png
17,540,0.0,Frame-01881.png
17,818,-0.0,Frame-01881.png
17,1193,-0.0,Frame-01881.png
17,1272,-0.0,Frame-01881.png
17,1595,-0.0,Frame-01881.png
17,2007,0.0,Frame-01881.png
17,2327,0.5109497738633658,Frame-01881.png
17,2631,0.0616242388672878,Frame-01881.png
17,2938,-0.0,Frame-01881.png
17,3194,0.0,Frame-01881.png
17,-1,0.0,Frame-01881.png
17,-1,0.0,Frame-01881.png
18,261,0.0,Frame-01955.png
18,602,0.0,Frame-01955.png
18,818,-0.0,Frame-01955.png
18,1192,-0.0,Frame-01955.png
18,1210,-0.0,Frame-01955.png
18,1461,0.0,Frame-01955.png
18,1656,0.0,Frame-01955.png
18,1711,0.0,Frame-01955.png
18,2078,0.006967240570777785,Frame-01955.png
18,2403,0.0,Frame-01955.png
18,2590,0.048383761803018815,Frame-01955.png
18,2895,-0.0,Frame-01955.png
18,3192,0.0,Frame-01955.png
18,-1,0.0,Frame-01955.png
18,-1,0.0,Frame-01955.png
19,915,0.5507286606523247,Frame-02325.png
19,2096,-0.0,Frame-02325.png
19,2284,0.0,Frame-02325.png
19,2385,-0.0,Frame-02325.png
19,2639,0.4525862068965517,Frame-02325.png
19,2675,0.33620689655172414,Frame-02325.png
19,2729,0.31837098692033294,Frame-02325.png
19,3115,-0.0,Frame-02325.png
19,-1,-0.0,Frame-02325.png
20,159,-0.0,Frame-02435.png
20,333,0.7523532829750146,Frame-02435.png
20,385,0.3597102637693044,Frame-02435.png
20,537,-0.0,Frame-02435.png
20,1263,0.0,Frame-02435.png
20,1629,0.0,Frame-02435.png
20,2457,0.34869203329369797,Frame-02435.png
20,-1,-0.0,Frame-02435.png
21,956,0.050317124735729385,Frame-02451.png
21,1132,-0.0,Frame-02451.png
21,1516,-0.0,Frame-02451.png
21,1838,-0.0,Frame-02451.png
21,2117,0.0,Frame-02451.png
21,2713,0.1018104219728781,Frame-02451.png
21,2987,0.09515600758489916,Frame-02451.png
21,3184,0.0,Frame-02451.png
21,-1,-0.0,Frame-02451.png
21,-1,0.0,Frame-02451.png
22,547,-0.0,Frame-03033.png
22,1137,0.4618851915683415,Frame-03033.png
22,1400,0.15283558792924037,Frame-03033.png
22,1640,-0.0,Frame-03033.png
22,1964,-0.0,Frame-03033.png
22,2165,0.07402736466389054,Frame-03033.png
22,2554,-0.0,Frame-03033.png
22,2579,0.0,Frame-03033.png
22,3031,0.09206325357773354,Frame-03033.png
22,3065,-0.0,Frame-03033.png
22,-1,0.0,Frame-03033.png
23,297,-0.0,Frame-03418.png
23,540,0.0304798962386511,Frame-03418.png
23,781,0.017989633092793982,Frame-03418.png
23,1028,-0.0,Frame-03418.png
23,1066,0.2626214174361434,Frame-03418.png
23,2143,0.24718619869125522,Frame-03418.png
23,2687,0.2140309155766944,Frame-03418.png
23,2933,0.0,Frame-03418.png
23,3148,0.0,Frame-03418.png
24,773,0.6087770939256087,Frame-03578.png
24,1332,0.0,Frame-03578.png
24,3191,0.0,Frame-03578.png
24,-1,-0.0,Frame-03578.png
24,-1,-0.0,Frame-03578.png
24,-1,-0.0,Frame-03578.png
24,-1,-0.0,Frame-03578.png
24,-1,-0.0,Frame-03578.png
25,145,0.05203485912513749,Frame-03621.png
25,297,0.018954137755965477,Frame-03621.png
25,965,0.0,Frame-03621.png
25,1941,0.0,Frame-03621.png
25,2099,0.24718619869125522,Frame-03621.png
25,2597,0.11580201994856032,Frame-03621.png
25,2923,0.0,Frame-03621.png
25,-1,0.0,Frame-03621.png
26,360,-0.0,Frame-03806.png
26,389,-0.0,Frame-03806.png
26,509,0.0,Frame-03806.png
26,1534,0.0,Frame-03806.png
26,2101,0.06521507908771823,Frame-03806.png
26,2233,-0.0,Frame-03806.png
26,2985,0.0,Frame-03806.png
