Detector threshold: 0.99999
Model Name: path_1_richardson_V2.h5
imageid, boundingbox_id, IOU, sourceimage
0,2092,0.0,Frame-00094.png
0,2331,0.34000360555255094,Frame-00094.png
0,3071,0.3767491926803014,Frame-00094.png
0,-1,0.0,Frame-00094.png
0,-1,-0.0,Frame-00094.png
0,-1,0.0,Frame-00094.png
1,2411,-0.0,Frame-00217.png
1,2423,0.7313965341488278,Frame-00217.png
1,-1,-0.0,Frame-00217.png
2,-1,-1.0,Frame-00351.png
2,-1,-1.0,Frame-00351.png
2,-1,-1.0,Frame-00351.png
3,1550,0.391304347826087,Frame-00431.png
3,1748,0.47409863240779115,Frame-00431.png
3,2408,0.3797247761552791,Frame-00431.png
3,3325,0.23419027960217678,Frame-00431.png
4,2328,0.674959437533802,Frame-00527.png
4,3139,0.027166160143893815,Frame-00527.png
4,-1,-0.0,Frame-00527.png
4,-1,0.0,Frame-00527.png
4,-1,-0.0,Frame-00527.png
5,1127,0.012738853503184714,Frame-00871.png
5,1193,0.4678536102868447,Frame-00871.png
5,1835,0.0,Frame-00871.png
5,2357,0.07571660356949703,Frame-00871.png
5,-1,-0.0,Frame-00871.png
6,46,-0.0,Frame-00923.png
6,108,0.0,Frame-00923.png
6,169,0.03707865168539326,Frame-00923.png
6,2579,-0.0,Frame-00923.png
7,2426,0.03434081425510319,Frame-00949.png
7,3050,0.32981927710843373,Frame-00949.png
7,3137,0.10748173192278329,Frame-00949.png
7,3490,0.0,Frame-00949.png
7,-1,0.0,Frame-00949.png
7,-1,0.0,Frame-00949.png
7,-1,0.0,Frame-00949.png
7,-1,0.0,Frame-00949.png
8,1585,-0.0,Frame-01038.png
8,1759,0.0,Frame-01038.png
8,2130,0.0,Frame-01038.png
8,2327,0.9549994125249677,Frame-01038.png
8,2426,0.040301384264937797,Frame-01038.png
8,3057,0.5158323014328675,Frame-01038.png
8,3486,0.0,Frame-01038.png
8,-1,0.0,Frame-01038.png
8,-1,-0.0,Frame-01038.png
9,46,0.0,Frame-01318.png
9,168,-0.0,Frame-01318.png
9,2332,0.05038028597505324,Frame-01318.png
9,2536,-0.0,Frame-01318.png
9,-1,-0.0,Frame-01318.png
9,-1,0.0,Frame-01318.png
10,2289,0.34613304488912927,Frame-01551.png
10,2333,0.0940523109996417,Frame-01551.png
10,3242,0.0,Frame-01551.png
10,-1,-0.0,Frame-01551.png
11,38,0.0,Frame-01598.png
11,212,0.0,Frame-01598.png
11,993,0.6294378698224852,Frame-01598.png
11,1643,0.0,Frame-01598.png
11,-1,-0.0,Frame-01598.png
11,-1,0.0,Frame-01598.png
11,-1,0.0,Frame-01598.png
11,-1,0.0,Frame-01598.png
12,2151,0.0,Frame-01646.png
12,2261,0.12006489994591671,Frame-01646.png
12,2265,0.6127636560302866,Frame-01646.png
12,3242,0.0,Frame-01646.png
12,-1,0.0,Frame-01646.png
13,2801,0.45760055720006965,Frame-01665.png
13,2888,0.07389352148813341,Frame-01665.png
13,3242,0.0,Frame-01665.png
13,-1,-0.0,Frame-01665.png
13,-1,-0.0,Frame-01665.png
13,-1,0.0,Frame-01665.png
14,2492,0.0,Frame-01790.png
14,-1,-0.0,Frame-01790.png
14,-1,0.0,Frame-01790.png
15,41,0.0,Frame-01809.png
15,225,0.0,Frame-01809.png
15,2534,0.0,Frame-01809.png
15,-1,-0.0,Frame-01809.png
15,-1,0.0,Frame-01809.png
16,1190,-0.0,Frame-01849.png
16,1948,0.0,Frame-01849.png
16,2147,0.0,Frame-01849.png
16,2663,0.5115351444588184,Frame-01849.png
16,2834,0.5430530011703728,Frame-01849.png
16,3242,0.0,Frame-01849.png
16,-1,0.0,Frame-01849.png
16,-1,-0.0,Frame-01849.png
17,2186,0.6760513813126869,Frame-01881.png
17,2333,0.060993930653205936,Frame-01881.png
17,3242,0.0,Frame-01881.png
17,-1,0.0,Frame-01881.png
17,-1,0.0,Frame-01881.png
18,212,0.0,Frame-01955.png
18,2333,0.10287769784172662,Frame-01955.png
18,3286,0.0,Frame-01955.png
18,-1,0.0,Frame-01955.png
18,-1,0.0,Frame-01955.png
18,-1,0.0,Frame-01955.png
19,1522,-0.0,Frame-02325.png
19,2705,0.0,Frame-02325.png
19,3372,0.0,Frame-02325.png
19,-1,0.0,Frame-02325.png
19,-1,0.0,Frame-02325.png
19,-1,0.0,Frame-02325.png
19,-1,-0.0,Frame-02325.png
19,-1,-0.0,Frame-02325.png
20,2704,0.7891447955722193,Frame-02435.png
20,3138,0.0,Frame-02435.png
20,-1,-0.0,Frame-02435.png
20,-1,-0.0,Frame-02435.png
20,-1,-0.0,Frame-02435.png
21,2328,0.17162430142419327,Frame-02451.png
21,2411,0.05676065186061121,Frame-02451.png
21,2631,-0.0,Frame-02451.png
21,3371,0.0,Frame-02451.png
21,-1,-0.0,Frame-02451.png
21,-1,-0.0,Frame-02451.png
21,-1,-0.0,Frame-02451.png
22,1309,0.5222109189555781,Frame-03033.png
22,1565,-0.0,Frame-03033.png
22,2352,0.253650621957815,Frame-03033.png
22,2610,0.0,Frame-03033.png
22,3416,0.0,Frame-03033.png
22,-1,-0.0,Frame-03033.png
22,-1,-0.0,Frame-03033.png
22,-1,-0.0,Frame-03033.png
23,2361,-0.0,Frame-03418.png
23,2800,0.01244031163608947,Frame-03418.png
23,2939,0.5404391067742541,Frame-03418.png
23,2968,0.5065935947936291,Frame-03418.png
23,-1,-0.0,Frame-03418.png
23,-1,0.0,Frame-03418.png
23,-1,0.0,Frame-03418.png
23,-1,-0.0,Frame-03418.png
24,2841,0.0,Frame-03427.png
24,3003,0.0,Frame-03427.png
25,2747,0.0,Frame-03450.png
25,2915,0.0,Frame-03450.png
25,2967,0.0,Frame-03450.png
26,1184,0.0,Frame-03475.png
