imageid, boundingbox_id, IOU, sourceimage
0,1677,0.0,Frame-00094.png
0,2596,0.36500163238654915,Frame-00094.png
0,5664,0.0,Frame-00094.png
0,5979,0.39042124872303346,Frame-00094.png
0,7725,-0.0,Frame-00094.png
1,4531,-0.0,Frame-00217.png
1,6165,-0.0,Frame-00217.png
1,7412,-0.0,Frame-00217.png
1,7439,0.4309974863588989,Frame-00217.png
2,4054,-0.0,Frame-00351.png
2,4411,-0.0,Frame-00351.png
2,4528,-0.0,Frame-00351.png
2,5027,0.7165738161559888,Frame-00351.png
2,7457,0.7181580324437468,Frame-00351.png
3,4102,0.3473684210526316,Frame-00431.png
3,5334,0.0,Frame-00431.png
3,7407,0.5327940746515935,Frame-00431.png
3,7650,0.0,Frame-00431.png
4,5249,0.0,Frame-00527.png
4,5823,0.693294819585188,Frame-00527.png
4,6040,0.33318984072320273,Frame-00527.png
4,6199,0.0,Frame-00527.png
4,7086,-0.0,Frame-00527.png
4,7700,0.0,Frame-00527.png
4,7721,0.0,Frame-00527.png
5,244,0.0,Frame-00871.png
5,1051,0.0,Frame-00871.png
5,1658,0.0,Frame-00871.png
5,2617,0.0,Frame-00871.png
5,2675,0.0,Frame-00871.png
5,2815,-0.0,Frame-00871.png
5,2908,0.46597633136094674,Frame-00871.png
5,3416,-0.0,Frame-00871.png
5,3723,-0.0,Frame-00871.png
5,5817,0.0,Frame-00871.png
5,6766,0.0,Frame-00871.png
5,6932,0.0028198138922831094,Frame-00871.png
5,7203,0.5044132542323831,Frame-00871.png
5,7615,0.0,Frame-00871.png
6,75,-0.0,Frame-00923.png
6,371,0.028925134944848628,Frame-00923.png
6,569,-0.0,Frame-00923.png
6,5676,0.5439026783086431,Frame-00923.png
6,6005,0.0,Frame-00923.png
6,7252,-0.0,Frame-00923.png
6,7496,0.0,Frame-00923.png
7,4129,0.2211751662971175,Frame-00949.png
7,4638,0.0,Frame-00949.png
7,5045,0.0,Frame-00949.png
7,5532,0.0,Frame-00949.png
7,7099,0.45947743467933494,Frame-00949.png
7,7128,0.512589928057554,Frame-00949.png
